img_name,IoU,Mean accuracy
KAER0599M102P00A5,80.5,92.75547
KAER0585M089P00A4,94.5,97.53962
KAER0597M200P00A3,92.5,93.37768
KAER0579M062P00A2,88.5,92.13536
KAER0517M165P00A4,91.5,96.07601
KAER0563M039P00A1,84.5,91.17815
KAER0540M168P00A3,96.0,98.91949
KAER0525M138P00A4,91.5,97.60203
KAER0546M090P00A3,90.5,93.37446
KAER0589M114P00A1,91.0,95.63799
KAER0585M157P00A4,94.0,98.31987
KAER0522M091P00A3,79.0,93.11156
KAER0568M003P00A2,91.0,98.00073
KAER0572M184P00A3,96.5,99.15822
KAER0528M084P00A2,93.5,97.32283
KAER0590M107P00A2,94.5,96.86605
KAER0512M121P00A5,91.0,95.59328
KAER0504M001P00A3,90.0,94.11929
KAER0547M110P00A2,96.5,97.56683
KAER0528M184P00A3,91.5,98.36093
KAER0546M060P00A2,95.5,96.45003
KAER0558M146P00A5,81.5,82.57064
KAER0502M172P00A4,93.0,97.20758
KAER0525M098P00A4,87.0,94.73382
KAER0588M182P00A1,80.0,86.62005
KAER0599M058P00A2,74.0,92.40498
KAER0532M016P00A2,77.0,84.28769
KAER0595M065P00A2,85.0,94.50197
KAER0602M195P00A4,91.5,98.87466
KAER0593M146P00A4,89.5,90.9246
KAER0581M169P00A3,84.5,99.63952
KAER0569M024P00A1,74.5,87.09047
KAER0528M150P00A1,83.5,91.12423
KAER0533M086P00A3,94.5,97.78624
KAER0558M100P00A4,88.0,91.81848
KAER0554M056P00A4,89.0,95.78291
KAER0570M004P00A2,91.5,93.54789
KAER0550M073P00A1,75.0,92.12425
KAER0509M155P00A4,88.5,94.62146
KAER0555M010P00A5,90.0,95.18693
KAER0601M057P00A5,93.0,94.17325
KAER0552M021P00A3,96.0,98.07668
KAER0593M033P00A1,88.5,93.39404
KAER0602M148P00A2,89.5,97.71356
KAER0571M128P00A4,96.0,97.99953
KAER0545M074P00A5,92.5,99.01764
KAER0588M008P00A2,91.0,94.52054
KAER0566M110P00A5,92.0,94.78216
KAER0509M028P00A3,93.0,96.17119
KAER0504M071P00A1,81.0,94.87734
KAER0584M136P00A5,93.5,99.20885
KAER0538M003P00A4,84.0,92.83271
KAER0507M155P00A3,89.5,91.99967
KAER0528M016P00A5,93.5,97.19133
KAER0591M014P00A3,96.0,98.55714
KAER0527M124P00A1,88.5,92.58372
KAER0543M161P00A3,88.0,95.06586
KAER0521M144P00A2,90.0,97.49593
KAER0571M072P00A2,88.5,91.23501
KAER0547M105P00A5,97.0,99.07157
KAER0562M182P00A4,92.0,96.21057
KAER0566M040P00A3,85.5,94.87534
KAER0523M004P00A1,89.0,93.67412
KAER0599M054P00A3,83.5,90.05137
KAER0562M071P00A1,81.5,91.43703
KAER0576M056P00A3,86.5,94.72308
KAER0552M096P00A4,94.0,99.25381
KAER0558M185P00A5,85.5,89.04561
KAER0509M132P00A2,90.0,94.43938
KAER0512M120P00A2,88.5,96.94101
KAER0537M132P00A1,89.5,94.72318
KAER0520M147P00A4,88.0,98.33015
KAER0526M132P00A4,89.0,92.36934
KAER0556M031P00A3,91.0,98.4402
KAER0501M074P00A5,96.0,97.4405
KAER0575M122P00A4,92.5,95.21477
KAER0570M085P00A5,81.5,91.15948
KAER0537M143P00A3,91.0,93.62967
KAER0589M076P00A1,89.5,93.63053
KAER0515M139P00A3,93.5,95.71079
KAER0556M138P00A1,82.0,86.51549
KAER0521M167P00A2,88.5,92.88827
KAER0523M112P00A1,92.5,95.84795
KAER0548M139P00A1,70.0,70.04318
KAER0555M033P00A5,92.5,97.45474
KAER0560M141P00A2,91.0,97.58109
KAER0509M075P00A4,88.5,92.10331
KAER0588M147P00A2,97.0,99.1132
KAER0589M166P00A5,94.5,96.39122
KAER0514M056P00A3,92.5,97.00645
KAER0563M104P00A2,94.0,96.20015
KAER0537M136P00A4,82.5,83.16734
KAER0505M081P00A4,89.0,94.1222
KAER0524M011P00A5,91.5,95.75493
KAER0577M084P00A3,95.5,97.25158
KAER0600M059P00A4,90.5,92.08254
KAER0539M151P00A3,80.5,97.77476
KAER0583M097P00A2,93.0,97.09733
KAER0542M035P00A1,72.5,94.34605
KAER0568M014P00A5,91.5,95.36586
KAER0528M009P00A5,94.0,99.36477
KAER0527M177P00A3,88.5,89.93947
KAER0601M079P00A2,93.0,98.25742
KAER0567M142P00A2,76.0,91.41916
KAER0517M176P00A5,91.0,97.59103
KAER0601M157P00A3,89.5,98.0971
KAER0515M123P00A1,76.5,86.53294
KAER0600M094P00A4,92.0,94.33338
KAER0580M124P00A5,95.5,96.49852
KAER0537M077P00A5,90.0,94.09735
KAER0563M131P00A4,92.0,97.36537
KAER0603M026P00A2,96.0,98.73297
KAER0514M107P00A3,90.5,97.71198
KAER0605M089P00A1,69.5,95.72017
KAER0517M125P00A1,86.5,88.65277
KAER0551M109P00A5,94.5,97.04471
KAER0604M114P00A3,93.0,96.74575
